concept_id,node_type,preferred_name,source,category,synonyms
SCTID:420514000,Disease,Persistent proteinuria due to type 1 diabetes mellitus,SNOMEDCT,Complication,Persistent proteinuria due to type 1 diabetes mellitus
SCTID:420662003,Disease,Coma due to diabetes mellitus,SNOMEDCT,Complication,Coma due to diabetes mellitus | Diabetic coma
SCTID:420683009,Disease,Disorder of nervous system due to malnutrition related diabetes mellitus,SNOMEDCT,Complication,Disorder of nervous system due to malnutrition related diabetes mellitus
SCTID:420715001,Disease,Persistent microalbuminuria due to type 2 diabetes mellitus,SNOMEDCT,Complication,Persistent microalbuminuria due to type 2 diabetes mellitus
SCTID:420756003,Disease,Cataract of eye due to diabetes mellitus type 2,SNOMEDCT,Complication,Cataract due to diabetes mellitus type 2 | Cataract of eye due to diabetes mellitus type 2 | Diabetic cataract due to type 2 diabetes
SCTID:420789003,Disease,Retinopathy due to type 1 diabetes mellitus,SNOMEDCT,Complication,Diabetic retinopathy due to type 1 diabetes mellitus | Retinopathy due to type 1 diabetes mellitus
SCTID:420825003,Disease,Gangrene due to type 1 diabetes mellitus,SNOMEDCT,Complication,Diabetes type 1 with gangrene | Gangrene due to type 1 diabetes mellitus
SCTID:420868002,Disease,Disorder due to type 1 diabetes mellitus,SNOMEDCT,Complication,Disorder due to type 1 diabetes mellitus
SCTID:420918009,Disease,Mononeuropathy due to type 1 diabetes mellitus,SNOMEDCT,Complication,Mononeuropathy due to type 1 diabetes mellitus | Mononeuropathy with type 1 diabetes mellitus
SCTID:420996007,Disease,Coma due to malnutrition-related diabetes mellitus,SNOMEDCT,Complication,Coma due to malnutrition-related diabetes mellitus
SCTID:421075007,Disease,Ketoacidotic coma due to type 1 diabetes mellitus,SNOMEDCT,Complication,Diabetes mellitus type 1 with ketoacidotic coma | Ketoacidotic coma due to type 1 diabetes mellitus | Ketoacidotic coma in type 1 diabetes mellitus | Ketoacidotic coma in type I diabetes mellitus
SCTID:421256007,Disease,Disorder of eye due to malnutrition related diabetes mellitus,SNOMEDCT,Complication,Disorder of eye due to malnutrition related diabetes mellitus | Ophthalmic complication of malnutrition-related diabetes mellitus
SCTID:421305000,Disease,Persistent microalbuminuria due to type 1 diabetes mellitus,SNOMEDCT,Complication,Persistent microalbuminuria due to type 1 diabetes mellitus
SCTID:421326000,Disease,Disorder of nervous system due to type 2 diabetes mellitus,SNOMEDCT,Complication,Disorder of nervous system due to type 2 diabetes mellitus | Neurologic disorder due to type 2 diabetes mellitus
SCTID:421365002,Disease,Peripheral circulatory disorder due to type 1 diabetes mellitus,SNOMEDCT,Complication,Peripheral circulatory disorder due to type 1 diabetes mellitus
SCTID:421437000,Disease,Hypoglycemic coma due to type 1 diabetes mellitus,SNOMEDCT,Complication,Diabetes type 1 with hypoglycaemic coma | Diabetes type 1 with hypoglycemic coma | Hypoglycaemic coma due to type 1 diabetes mellitus | Hypoglycaemic coma in type 1 diabetes mellitus | Hypoglycaemic coma in type I diabetes mellitus | Hypoglycemic coma due to type 1 diabetes mellitus | Hypoglycemic coma in type 1 diabetes mellitus | Hypoglycemic coma in type I diabetes mellitus
SCTID:421468001,Disease,Disorder of nervous system due to type 1 diabetes mellitus,SNOMEDCT,Complication,Disorder of nervous system due to type 1 diabetes mellitus | Neurologic disorder due to type 1 diabetes mellitus
SCTID:421631007,Disease,Gangrene due to type 2 diabetes mellitus,SNOMEDCT,Complication,Gangrene due to type 2 diabetes mellitus
SCTID:421725003,Disease,Hypoglycemic coma due to diabetes mellitus,SNOMEDCT,Complication,Hypoglycaemic coma due to diabetes mellitus | Hypoglycaemic coma in diabetes mellitus | Hypoglycemic coma due to diabetes mellitus | Hypoglycemic coma in diabetes mellitus
SCTID:421750000,Disease,Ketoacidosis due to type 2 diabetes mellitus,SNOMEDCT,Complication,Diabetes type 2 with ketoacidosis | Ketoacidosis due to type 2 diabetes mellitus | Ketoacidosis in type 2 diabetes mellitus | Ketoacidosis in type II diabetes mellitus
SCTID:421779007,Disease,Exudative maculopathy due to type 2 diabetes mellitus,SNOMEDCT,Complication,Exudative maculopathy due to type 2 diabetes mellitus
SCTID:421847006,Disease,Ketoacidotic coma due to type 2 diabetes mellitus,SNOMEDCT,Complication,Diabetes mellitus type 2 with ketoacidotic coma | Ketoacidotic coma due to type 2 diabetes mellitus | Ketoacidotic coma in type 2 diabetes mellitus | Ketoacidotic coma in type II diabetes mellitus
SCTID:421893009,Disease,Renal disorder due to type 1 diabetes mellitus,SNOMEDCT,Complication,Kidney disorder due to type 1 diabetes mellitus | Renal disorder due to type 1 diabetes mellitus
